epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1615.51,1.28403,1.10041,0.93128,0.88099,0.85886,0.93138,0.60852,1.23513,1.12954,0.90935,0.000424187,0.000424187,0.000424187
43,1653.43,1.28685,1.11597,0.93038,0.89728,0.8661,0.93905,0.62134,1.20945,1.07162,0.91176,0.000417119,0.000417119,0.000417119
44,1693.69,1.38631,1.16239,0.95458,0.9267,0.88552,0.95018,0.62394,1.21886,1.02542,0.91867,0.00041005,0.00041005,0.00041005
45,1735.5,1.28131,1.09442,0.91833,0.90599,0.8898,0.95534,0.62933,1.19803,0.99672,0.90855,0.000402982,0.000402982,0.000402982
46,1778.13,1.25375,1.0833,0.92109,0.89984,0.90008,0.9568,0.62629,1.21819,0.99206,0.91549,0.000395913,0.000395913,0.000395913
47,1820.03,1.32277,1.09628,0.91727,0.93253,0.89424,0.96139,0.65041,1.1843,0.98339,0.90425,0.000388844,0.000388844,0.000388844
48,1861.94,1.2942,1.11066,0.94721,0.93414,0.90756,0.96099,0.6543,1.16996,0.96,0.90072,0.000381776,0.000381776,0.000381776
49,1904.08,1.25668,1.04425,0.91355,0.94037,0.90783,0.96381,0.64484,1.18158,0.95653,0.90288,0.000374707,0.000374707,0.000374707
50,1947.4,1.27173,1.03253,0.93228,0.92044,0.91796,0.96524,0.64029,1.20067,0.98259,0.9041,0.000367639,0.000367639,0.000367639
51,1991.01,1.29742,1.08653,0.93955,0.91984,0.91826,0.96715,0.64585,1.18567,0.95185,0.906,0.00036057,0.00036057,0.00036057
52,2033.29,1.24272,1.03158,0.93665,0.94064,0.86908,0.9609,0.64168,1.19867,0.99307,0.91318,0.000353501,0.000353501,0.000353501
53,2076.45,1.22851,0.9893,0.93052,0.93016,0.91447,0.96996,0.64707,1.18,0.93699,0.90764,0.000346433,0.000346433,0.000346433
54,2121.1,1.22298,0.97975,0.90286,0.95415,0.89596,0.9754,0.64882,1.1702,0.90404,0.90524,0.000339364,0.000339364,0.000339364
55,2164.18,1.19699,0.93865,0.91503,0.95217,0.88084,0.97075,0.62574,1.25852,0.94907,0.92399,0.000332296,0.000332296,0.000332296
56,2208.62,1.29145,0.99577,0.91681,0.93035,0.89855,0.9675,0.65913,1.14675,0.95004,0.8918,0.000325227,0.000325227,0.000325227
57,2251.13,1.25615,1.00449,0.91684,0.9193,0.93998,0.97191,0.63705,1.24229,0.91225,0.91129,0.000318158,0.000318158,0.000318158
58,2293.25,1.22841,0.98238,0.90914,0.95054,0.91235,0.97536,0.67296,1.14351,0.87743,0.89382,0.00031109,0.00031109,0.00031109
59,2334.82,1.2386,0.97579,0.92534,0.94641,0.93734,0.97547,0.67001,1.16494,0.8894,0.90083,0.000304021,0.000304021,0.000304021
60,2376.29,1.23263,0.9562,0.92255,0.93329,0.91279,0.96806,0.60518,1.31635,0.92983,0.93555,0.000296953,0.000296953,0.000296953
61,2417.81,1.17161,0.92072,0.89992,0.95529,0.94542,0.97935,0.68333,1.10689,0.82938,0.88661,0.000289884,0.000289884,0.000289884
62,2458.85,1.24745,0.95464,0.91895,0.9645,0.93557,0.9812,0.67476,1.13743,0.84736,0.89206,0.000282815,0.000282815,0.000282815
63,2500.54,1.26094,0.92146,0.91789,0.96514,0.94708,0.98203,0.67835,1.12247,0.84704,0.88615,0.000275747,0.000275747,0.000275747
64,2541.23,1.24039,1.05537,0.90791,0.95961,0.93856,0.98085,0.67403,1.14856,0.8465,0.89161,0.000268678,0.000268678,0.000268678
65,2582.36,1.22943,0.98257,0.91407,0.95196,0.94034,0.98014,0.68682,1.10419,0.83744,0.88331,0.00026161,0.00026161,0.00026161
66,2623.08,1.21859,0.95614,0.89546,0.96037,0.94238,0.98095,0.68347,1.11487,0.82778,0.88575,0.000254541,0.000254541,0.000254541
67,2663.67,1.2256,0.92755,0.89851,0.96307,0.93287,0.9812,0.67997,1.12335,0.86007,0.88889,0.000247472,0.000247472,0.000247472
68,2704.28,1.18834,0.93644,0.9002,0.96003,0.94885,0.98444,0.70221,1.07701,0.81241,0.87999,0.000240404,0.000240404,0.000240404
69,2745.28,1.19385,0.8771,0.9177,0.97557,0.95064,0.98566,0.70131,1.08063,0.78504,0.88016,0.000233335,0.000233335,0.000233335
70,2786.25,1.19115,0.89481,0.90182,0.97447,0.94229,0.98403,0.69898,1.07108,0.79031,0.87945,0.000226267,0.000226267,0.000226267
71,2826.91,1.13861,0.84326,0.90704,0.95539,0.95839,0.98335,0.69874,1.07123,0.79679,0.87858,0.000219198,0.000219198,0.000219198
72,2867.99,1.14602,0.8626,0.89042,0.97285,0.94019,0.9845,0.70343,1.06912,0.77993,0.87804,0.000212129,0.000212129,0.000212129
73,2910.56,1.20788,0.92455,0.87222,0.97371,0.94419,0.985,0.70424,1.05794,0.78339,0.87543,0.000205061,0.000205061,0.000205061
74,2952.85,1.11805,0.82476,0.89436,0.98626,0.94208,0.98563,0.70307,1.07439,0.78957,0.87851,0.000197992,0.000197992,0.000197992
75,2995.55,1.138,0.85899,0.90383,0.97904,0.94834,0.98655,0.704,1.06294,0.78398,0.8768,0.000190924,0.000190924,0.000190924
76,3037.92,1.1342,0.85476,0.89336,0.97933,0.95273,0.98704,0.70197,1.06756,0.77054,0.87741,0.000183855,0.000183855,0.000183855
77,3080.78,1.13935,0.84607,0.89826,0.98411,0.95754,0.98789,0.69849,1.06751,0.76224,0.87749,0.000176786,0.000176786,0.000176786
78,3122.62,1.19356,0.86749,0.9147,0.97673,0.96566,0.98762,0.69859,1.07082,0.75924,0.87584,0.000169718,0.000169718,0.000169718
79,3161.97,1.14919,0.87791,0.88591,0.97794,0.95902,0.98809,0.69532,1.09425,0.77029,0.87865,0.000162649,0.000162649,0.000162649
80,3201.33,1.16089,0.84931,0.9318,0.9784,0.96671,0.98861,0.70089,1.07729,0.76849,0.87643,0.000155581,0.000155581,0.000155581
81,3240.98,1.15567,0.83743,0.89303,0.98815,0.96216,0.98848,0.71049,1.0534,0.75789,0.87309,0.000148512,0.000148512,0.000148512
82,3280.9,1.13679,0.82624,0.90307,0.9805,0.96294,0.98878,0.71399,1.04606,0.74709,0.87187,0.000141443,0.000141443,0.000141443
83,3320.5,1.10723,0.8376,0.88094,0.98427,0.9559,0.98955,0.71155,1.04212,0.74074,0.87128,0.000134375,0.000134375,0.000134375
84,3361.46,1.10032,0.78913,0.88664,0.98137,0.95681,0.98987,0.71413,1.03016,0.7412,0.86979,0.000127306,0.000127306,0.000127306
85,3401.13,1.13653,0.80661,0.9034,0.97216,0.96276,0.98999,0.71416,1.02631,0.73941,0.86854,0.000120238,0.000120238,0.000120238
86,3440.44,1.11257,0.83216,0.88934,0.96963,0.97805,0.98973,0.72034,1.01771,0.74656,0.86659,0.000113169,0.000113169,0.000113169
87,3480.27,1.08731,0.81094,0.88924,0.97318,0.97627,0.98998,0.721,1.02198,0.73384,0.8673,0.0001061,0.0001061,0.0001061
88,3521.03,1.09974,0.78137,0.87291,0.98501,0.96791,0.98995,0.71181,1.03975,0.72795,0.87044,9.90318e-05,9.90318e-05,9.90318e-05
89,3560.43,1.13338,0.7902,0.88557,0.96864,0.97915,0.98972,0.7085,1.04308,0.72918,0.87214,9.19632e-05,9.19632e-05,9.19632e-05
90,3600.16,1.10394,0.8164,0.89246,0.96937,0.97672,0.99007,0.71557,1.02894,0.72062,0.8712,8.48946e-05,8.48946e-05,8.48946e-05
91,3639.05,1.11979,0.8389,0.89956,0.96844,0.97312,0.98941,0.71541,1.02045,0.72529,0.8702,7.7826e-05,7.7826e-05,7.7826e-05
92,3677.79,1.07431,0.81883,0.89953,0.96676,0.97184,0.98897,0.71623,1.02085,0.73416,0.87005,7.07574e-05,7.07574e-05,7.07574e-05
93,3717.31,1.05604,0.84813,0.89814,0.98009,0.9599,0.98864,0.718,1.02226,0.737,0.86979,6.36888e-05,6.36888e-05,6.36888e-05
94,3755.82,1.08103,0.82089,0.90803,0.98354,0.95336,0.98843,0.72106,1.02012,0.73168,0.86917,5.66202e-05,5.66202e-05,5.66202e-05
95,3794.64,1.08789,0.81383,0.90844,0.98318,0.95465,0.98834,0.71961,1.01757,0.72677,0.86873,4.95516e-05,4.95516e-05,4.95516e-05
96,3833.53,1.06596,0.75758,0.89487,0.96834,0.96994,0.98842,0.72297,1.01328,0.72309,0.86724,4.2483e-05,4.2483e-05,4.2483e-05
97,3872.3,1.07687,0.77194,0.90599,0.9704,0.96881,0.98854,0.72386,1.00832,0.72058,0.86542,3.54144e-05,3.54144e-05,3.54144e-05
98,3910.27,1.08725,0.84426,0.91725,0.98087,0.95599,0.98857,0.72527,1.00654,0.72021,0.86435,2.83458e-05,2.83458e-05,2.83458e-05
99,3948.04,1.06499,0.77346,0.91761,0.983,0.95546,0.98879,0.72766,1.00635,0.72065,0.86381,2.12772e-05,2.12772e-05,2.12772e-05
100,3985.9,1.0741,0.81104,0.89942,0.98124,0.95727,0.98855,0.72746,1.00736,0.72072,0.86396,1.42086e-05,1.42086e-05,1.42086e-05
