epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5969,2.49942,5.13009,1.48003,7e-05,0.00294,4e-05,1e-05,2.08296,5.09588,1.20695,4.998e-05,4.998e-05,4.998e-05
2,90.1611,2.04342,4.75764,1.09536,0.0002,0.01013,0.00043,0.00013,1.71721,4.8238,1.0022,0.00010604,0.00010604,0.00010604
3,133.111,1.79977,4.26576,0.99491,0.00067,0.03044,0.00824,0.0044,1.60697,4.71066,0.96751,0.000160968,0.000160968,0.000160968
4,175.596,1.79837,3.71239,0.99597,0.00655,0.2574,0.08433,0.04405,1.6154,4.52233,0.97232,0.000214766,0.000214766,0.000214766
5,218.158,1.73193,3.22485,1.00289,0.01484,0.63921,0.13645,0.07438,1.58009,4.2765,0.96626,0.000267433,0.000267433,0.000267433
6,261.689,1.76663,2.98357,0.98776,0.01259,0.51788,0.10389,0.05448,1.55128,4.17965,0.95812,0.000318969,0.000318969,0.000318969
7,303.462,1.68499,2.73247,0.9806,0.0182,0.82208,0.17756,0.1026,1.49512,3.94383,0.94869,0.000369374,0.000369374,0.000369374
8,344.524,1.68271,2.64071,0.98142,0.01606,0.76282,0.20695,0.11482,1.55041,3.89591,0.96362,0.000418647,0.000418647,0.000418647
9,385.221,1.61014,2.54017,0.99763,0.01817,0.97277,0.3302,0.16796,1.57616,3.43369,0.98628,0.00046679,0.00046679,0.00046679
10,425.919,1.58175,2.41326,0.9814,0.01767,0.9315,0.32776,0.17348,1.56169,3.58055,0.96728,0.000513802,0.000513802,0.000513802
11,466.814,1.55393,2.31615,0.95443,0.66192,0.13939,0.38358,0.20454,1.53345,2.9172,0.97646,0.000559683,0.000559683,0.000559683
12,506.821,1.66091,2.33719,0.97985,0.46352,0.15832,0.38322,0.20522,1.54534,2.87898,0.98091,0.000604433,0.000604433,0.000604433
13,546.921,1.57594,2.22927,0.97421,0.42967,0.24964,0.39085,0.20027,1.6099,2.75129,1.00045,0.000629177,0.000629177,0.000629177
14,587.271,1.46071,2.17037,0.95382,0.42903,0.43862,0.47008,0.26166,1.48945,2.39263,0.9742,0.000622108,0.000622108,0.000622108
15,627.802,1.5935,2.10566,0.98133,0.44484,0.38629,0.48243,0.27256,1.4672,2.37256,0.95844,0.00061504,0.00061504,0.00061504
16,668.196,1.55111,2.08599,0.95961,0.45241,0.38618,0.45278,0.243,1.51854,2.53764,0.9671,0.000607971,0.000607971,0.000607971
17,707.837,1.47336,2.03998,0.93203,0.53466,0.41559,0.48235,0.28469,1.4412,2.54658,0.94615,0.000600902,0.000600902,0.000600902
