epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8043,2.00365,5.46758,1.1825,0,0,0,0,2.52003,5.94031,1.32496,7.14e-06,7.14e-06,7.14e-06
2,23.7141,2.44032,5.72839,1.20967,0,0,0,0,2.1616,5.56469,1.1837,2.12079e-05,2.12079e-05,2.12079e-05
3,34.8275,2.44163,5.78298,1.09875,0,0,0,0,1.77512,5.31293,1.03972,3.49931e-05,3.49931e-05,3.49931e-05
4,46.5138,1.89683,5.37798,1.05092,0,0,0,0,1.65795,5.18771,0.96973,4.84956e-05,4.84956e-05,4.84956e-05
5,57.8895,1.8478,5.07275,1.00104,0,0,0,0,1.6626,5.06445,0.9319,6.17153e-05,6.17153e-05,6.17153e-05
6,69.495,1.84323,4.99459,0.94942,0,0,0,0,1.64023,5.0035,0.91666,7.46523e-05,7.46523e-05,7.46523e-05
7,80.2796,1.6782,4.80583,0.95515,0,0,0,0,1.61825,4.97651,0.91374,8.73065e-05,8.73065e-05,8.73065e-05
8,91.377,1.64233,4.71106,0.93913,0,0,0,0,1.58547,4.94744,0.90703,9.9678e-05,9.9678e-05,9.9678e-05
9,102.956,1.82399,4.74084,0.90985,0,0,0,0,1.55306,4.94198,0.90115,0.000111767,0.000111767,0.000111767
10,114.066,1.67571,4.49961,0.87992,0,0,0,0,1.51557,4.93012,0.89166,0.000123573,0.000123573,0.000123573
11,125.169,1.75571,4.49287,0.89785,0,0,0,0,1.51349,4.92062,0.88789,0.000135096,0.000135096,0.000135096
12,136.604,1.68395,4.42987,0.88954,0,0,0,0,1.54926,4.90409,0.88953,0.000146336,0.000146336,0.000146336
13,147.534,1.71331,4.26981,0.906,0,0,0,0,1.53232,4.87173,0.88667,0.000157294,0.000157294,0.000157294
14,158.95,1.68623,4.05014,0.86537,0.00021,0.00667,0.00226,0.00181,1.50244,4.83031,0.88169,0.000167969,0.000167969,0.000167969
15,170.236,1.54928,3.87199,0.87702,0.00104,0.03333,0.00731,0.00434,1.46858,4.79099,0.87887,0.000178361,0.000178361,0.000178361
16,181.387,1.59191,3.79487,0.87854,0.00227,0.08095,0.01174,0.00665,1.45824,4.7362,0.88082,0.000188471,0.000188471,0.000188471
17,192.323,1.60775,3.64594,0.873,0.00313,0.11007,0.01218,0.00714,1.46075,4.68188,0.884,0.000198298,0.000198298,0.000198298
18,204.021,1.65649,3.52341,0.87734,0.00451,0.14108,0.01354,0.00758,1.45926,4.63024,0.88367,0.000207842,0.000207842,0.000207842
19,215.015,1.65024,3.38734,0.89554,0.00524,0.14902,0.01429,0.00726,1.46794,4.59895,0.88334,0.000217103,0.000217103,0.000217103
20,226.034,1.58308,3.40259,0.89356,0.00394,0.10037,0.01472,0.00958,1.46786,4.58961,0.88354,0.000226082,0.000226082,0.000226082
21,237.099,1.5548,3.32563,0.86024,0.00307,0.06585,0.01536,0.01264,1.47741,4.57923,0.88514,0.000234777,0.000234777,0.000234777
22,247.991,1.63917,3.16563,0.87538,0.00265,0.06482,0.01595,0.01284,1.46551,4.56793,0.88434,0.000243191,0.000243191,0.000243191
23,258.701,1.70582,3.22363,0.85804,0.00261,0.05179,0.01536,0.0123,1.42103,4.55058,0.88052,0.000251321,0.000251321,0.000251321
24,269.055,1.51645,3.05357,0.85352,0.00265,0.06615,0.0175,0.01391,1.39442,4.5169,0.87554,0.000259168,0.000259168,0.000259168
25,279.269,1.47417,3.04245,0.85296,0.00299,0.11268,0.02543,0.0192,1.38569,4.44728,0.87519,0.000266733,0.000266733,0.000266733
26,289.572,1.46209,2.94233,0.84525,0.00421,0.16488,0.03179,0.02211,1.37017,4.38234,0.87504,0.000274015,0.000274015,0.000274015
