epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.0949,1.99047,4.91159,1.11059,3e-05,0.00356,0,0,1.4609,4.77231,0.91065,0.00019992,0.00019992,0.00019992
2,161.384,1.69901,3.72916,0.94391,0.01763,0.83763,0.09938,0.0517,1.52945,4.03837,0.92414,0.000402951,0.000402951,0.000402951
3,237.968,1.64824,3.05289,0.94608,0.02199,0.9657,0.11924,0.06512,1.489,3.32428,0.9266,0.000601882,0.000601882,0.000601882
4,314.888,1.61947,2.81789,0.977,0.1176,0.23869,0.11786,0.06795,1.42894,2.94187,0.93337,0.000692794,0.000692794,0.000692794
5,388.457,1.59298,2.71903,0.96024,0.11779,0.58218,0.14128,0.08184,1.45632,2.55404,0.9421,0.000685726,0.000685726,0.000685726
6,462.304,1.4867,2.58448,0.94097,0.13196,0.60088,0.17898,0.10499,1.42492,2.42844,0.93503,0.000678657,0.000678657,0.000678657
7,535.688,1.49218,2.49263,0.93357,0.15178,0.59157,0.20389,0.12068,1.40522,2.37844,0.93673,0.000671588,0.000671588,0.000671588
8,607.634,1.4601,2.41236,0.94475,0.19431,0.51132,0.25053,0.14605,1.35025,2.36748,0.91474,0.00066452,0.00066452,0.00066452
9,683.976,1.44265,2.37236,0.93068,0.23114,0.43509,0.27226,0.16673,1.29721,2.30454,0.90224,0.000657451,0.000657451,0.000657451
10,762.222,1.46981,2.35676,0.93456,0.20524,0.59774,0.29438,0.17936,1.32051,2.23629,0.9086,0.000650383,0.000650383,0.000650383
11,838.326,1.42347,2.25302,0.93245,0.28777,0.40796,0.34805,0.21122,1.30848,2.27208,0.90657,0.000643314,0.000643314,0.000643314
12,925.353,1.38827,2.14003,0.92395,0.30935,0.50026,0.39827,0.24725,1.29058,2.11233,0.90383,0.000636245,0.000636245,0.000636245
13,1013.7,1.37682,2.09615,0.9412,0.36912,0.4709,0.43824,0.27402,1.29463,2.10235,0.90713,0.000629177,0.000629177,0.000629177
14,1115.25,1.38442,2.02671,0.93123,0.41464,0.56553,0.50464,0.3227,1.26029,1.93257,0.90326,0.000622108,0.000622108,0.000622108
15,1202.15,1.37373,1.94029,0.9188,0.47057,0.57524,0.55316,0.34914,1.2918,1.81619,0.90653,0.00061504,0.00061504,0.00061504
16,1288.47,1.40608,1.91532,0.92629,0.43567,0.58553,0.57905,0.36228,1.32352,1.86882,0.91001,0.000607971,0.000607971,0.000607971
17,1384.58,1.5169,1.88806,0.95615,0.53153,0.62628,0.61281,0.38957,1.26069,1.73724,0.90451,0.000600902,0.000600902,0.000600902
18,1468.19,1.39105,1.81858,0.92733,0.51831,0.63214,0.62512,0.37911,1.32245,1.7451,0.91805,0.000593834,0.000593834,0.000593834
19,1554.31,1.35585,1.75974,0.92072,0.56381,0.61389,0.63385,0.40407,1.25572,1.72297,0.89945,0.000586765,0.000586765,0.000586765
20,1633.2,1.36505,1.72095,0.92527,0.5683,0.68797,0.66799,0.43356,1.24394,1.56363,0.90229,0.000579697,0.000579697,0.000579697
21,1707.09,1.33476,1.70293,0.92152,0.59319,0.65767,0.68308,0.44029,1.2418,1.62138,0.89894,0.000572628,0.000572628,0.000572628
22,1789.92,1.31847,1.64617,0.91578,0.60705,0.64541,0.68913,0.43668,1.26392,1.50734,0.90583,0.000565559,0.000565559,0.000565559
23,1870.98,1.43336,1.76498,0.92063,0.60939,0.72873,0.71392,0.46177,1.22975,1.4231,0.89791,0.000558491,0.000558491,0.000558491
24,1945.89,1.31371,1.5679,0.91681,0.62991,0.72993,0.72884,0.47749,1.21452,1.41733,0.89305,0.000551422,0.000551422,0.000551422
25,2027,1.33459,1.50853,0.90773,0.66652,0.71273,0.74729,0.48669,1.22292,1.39222,0.89755,0.000544354,0.000544354,0.000544354
26,2106.75,1.31768,1.50869,0.91805,0.62378,0.72729,0.73423,0.47122,1.27922,1.49407,0.90493,0.000537285,0.000537285,0.000537285
27,2184.28,1.3007,1.48803,0.91251,0.66254,0.7267,0.75417,0.49149,1.22217,1.34145,0.89302,0.000530216,0.000530216,0.000530216
28,2261.16,1.29595,1.44704,0.90125,0.71588,0.76012,0.77216,0.5133,1.19483,1.28706,0.88979,0.000523148,0.000523148,0.000523148
29,2339.64,1.27246,1.35724,0.92141,0.71086,0.75757,0.77195,0.51166,1.18941,1.30999,0.88922,0.000516079,0.000516079,0.000516079
30,2416.46,1.3227,1.41908,0.92238,0.71389,0.74107,0.77835,0.50516,1.24058,1.27682,0.90004,0.000509011,0.000509011,0.000509011
31,2489.64,1.28357,1.35563,0.90351,0.72411,0.74727,0.77825,0.51067,1.18333,1.33719,0.88812,0.000501942,0.000501942,0.000501942
32,2562.92,1.26178,1.35445,0.89899,0.67161,0.78772,0.79227,0.5266,1.1719,1.24407,0.88392,0.000494873,0.000494873,0.000494873
33,2636.47,1.27353,1.33517,0.89504,0.74056,0.77245,0.80443,0.52113,1.2317,1.2361,0.89651,0.000487805,0.000487805,0.000487805
34,2709.79,1.276,1.3613,0.90498,0.69449,0.78915,0.81171,0.54245,1.16405,1.2047,0.88482,0.000480736,0.000480736,0.000480736
35,2783.33,1.26842,1.31063,0.90132,0.77347,0.75591,0.82255,0.54534,1.17622,1.1967,0.88599,0.000473668,0.000473668,0.000473668
36,2858.85,1.22542,1.28986,0.89989,0.75519,0.79748,0.82546,0.54911,1.19139,1.12297,0.88859,0.000466599,0.000466599,0.000466599
37,2933.34,1.21515,1.23737,0.91624,0.76328,0.81134,0.82796,0.54702,1.17034,1.12236,0.88745,0.00045953,0.00045953,0.00045953
38,3012.17,1.25644,1.24747,0.91424,0.76794,0.80448,0.83504,0.55565,1.16228,1.11088,0.88735,0.000452462,0.000452462,0.000452462
39,3088.26,1.26408,1.23721,0.92077,0.77317,0.7978,0.84205,0.56634,1.13106,1.10122,0.88077,0.000445393,0.000445393,0.000445393
40,3162.32,1.23004,1.22031,0.91214,0.77977,0.7892,0.84622,0.56763,1.13985,1.06349,0.88229,0.000438325,0.000438325,0.000438325
41,3234.15,1.21788,1.16519,0.89551,0.78737,0.82928,0.85241,0.57798,1.1475,1.05596,0.88115,0.000431256,0.000431256,0.000431256
42,3305.86,1.25039,1.22115,0.89019,0.79043,0.79743,0.85341,0.58332,1.12144,1.05152,0.87793,0.000424187,0.000424187,0.000424187
43,3377.57,1.23579,1.22454,0.89825,0.81841,0.81941,0.86081,0.57311,1.16157,1.04231,0.88456,0.000417119,0.000417119,0.000417119
44,3457.84,1.19327,1.13001,0.89874,0.81529,0.82443,0.86565,0.58621,1.11796,1.00893,0.87785,0.00041005,0.00041005,0.00041005
45,3540.41,1.21216,1.17124,0.89027,0.8365,0.82396,0.87396,0.58843,1.1325,1.00752,0.88117,0.000402982,0.000402982,0.000402982
46,3618.19,1.19807,1.13753,0.90531,0.80511,0.83619,0.87805,0.60199,1.11277,0.99305,0.87672,0.000395913,0.000395913,0.000395913
47,3695.5,1.24042,1.13037,0.90452,0.81682,0.86069,0.88358,0.60158,1.11509,0.96572,0.87693,0.000388844,0.000388844,0.000388844
48,3774.24,1.19763,1.08354,0.89526,0.82543,0.83168,0.88405,0.5959,1.12207,0.97063,0.87683,0.000381776,0.000381776,0.000381776
49,3850.22,1.22735,1.12458,0.89316,0.82445,0.8471,0.88723,0.60118,1.13064,0.96932,0.87829,0.000374707,0.000374707,0.000374707
50,3927.2,1.18175,1.07864,0.88504,0.82632,0.84637,0.88891,0.6017,1.12937,0.94472,0.87595,0.000367639,0.000367639,0.000367639
51,4010.05,1.17148,1.05464,0.89696,0.83795,0.86027,0.89809,0.61709,1.09287,0.93759,0.87046,0.00036057,0.00036057,0.00036057
52,4084.45,1.1878,1.10755,0.88774,0.81542,0.8304,0.89037,0.6003,1.1352,0.9586,0.87836,0.000353501,0.000353501,0.000353501
53,4160.54,1.19271,1.08065,0.88555,0.82315,0.86351,0.90158,0.61849,1.09321,0.9614,0.87093,0.000346433,0.000346433,0.000346433
54,4233.31,1.17918,1.07133,0.88573,0.82454,0.85977,0.89767,0.61724,1.0937,0.9168,0.87105,0.000339364,0.000339364,0.000339364
55,4306.53,1.17935,1.05193,0.89752,0.84883,0.8648,0.9023,0.60634,1.15125,0.93893,0.87765,0.000332296,0.000332296,0.000332296
56,4386.96,1.20673,1.1004,0.89235,0.86242,0.86259,0.90601,0.62827,1.07743,0.90636,0.86621,0.000325227,0.000325227,0.000325227
57,4467.71,1.15206,1.03177,0.88294,0.84975,0.83151,0.91056,0.61606,1.1256,0.92357,0.87729,0.000318158,0.000318158,0.000318158
58,4546.61,1.15834,1.00788,0.88273,0.84385,0.87773,0.91838,0.63887,1.07145,0.87271,0.86794,0.00031109,0.00031109,0.00031109
59,4625.66,1.1136,1.19929,0.85487,0.84422,0.87499,0.91473,0.6327,1.07739,0.87939,0.86781,0.000304021,0.000304021,0.000304021
60,4705.16,1.15155,1.0396,0.88623,0.86636,0.87105,0.91934,0.63088,1.10043,0.87672,0.87115,0.000296953,0.000296953,0.000296953
61,4779.85,1.15975,1.03322,0.88919,0.87836,0.87349,0.92135,0.6431,1.05706,0.86167,0.86274,0.000289884,0.000289884,0.000289884
62,4853.41,1.16459,1.0395,0.87451,0.86563,0.87991,0.92226,0.64332,1.05518,0.84564,0.86299,0.000282815,0.000282815,0.000282815
63,4928.08,1.13121,0.99134,0.88616,0.87886,0.86698,0.92566,0.65102,1.05297,0.85253,0.86364,0.000275747,0.000275747,0.000275747
64,5002.72,1.15319,0.985,0.88283,0.87408,0.88936,0.93324,0.64442,1.10274,0.84088,0.86985,0.000268678,0.000268678,0.000268678
