epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4757,2.08718,4.71492,1.1523,0.36669,0.12898,0.10637,0.05001,1.7389,3.21401,0.99099,0.000235468,0.000235468,0.000235468
2,56.5349,1.81386,3.24814,1.01886,0.10798,0.49872,0.13165,0.06673,1.59961,2.44041,0.98848,0.000468781,0.000468781,0.000468781
3,84.4715,1.72456,2.83082,1.01285,0.13698,0.40378,0.15811,0.08338,1.56969,2.36891,1.00289,0.000697381,0.000697381,0.000697381
4,111.386,1.6454,2.70664,0.98602,0.18219,0.45301,0.20557,0.10593,1.52275,2.17281,0.97152,0.000692794,0.000692794,0.000692794
5,138.168,1.61295,2.52726,0.98288,0.2375,0.43944,0.2509,0.13399,1.49422,2.10928,0.96969,0.000685726,0.000685726,0.000685726
6,164.976,1.53617,2.38206,0.97488,0.27675,0.44924,0.30567,0.1666,1.44831,2.05657,0.9709,0.000678657,0.000678657,0.000678657
7,191.6,1.58604,2.32402,0.97863,0.3197,0.47274,0.34111,0.19147,1.45099,1.93313,0.96681,0.000671588,0.000671588,0.000671588
8,218.341,1.53488,2.24227,0.98124,0.3457,0.51974,0.39218,0.21791,1.45629,1.87748,0.9688,0.00066452,0.00066452,0.00066452
9,245.945,1.47715,2.11873,0.97535,0.43877,0.60825,0.48818,0.28464,1.41534,1.73056,0.95942,0.000657451,0.000657451,0.000657451
10,274.358,1.48014,2.01594,0.97428,0.49537,0.61675,0.5385,0.31895,1.38369,1.5985,0.95521,0.000650383,0.000650383,0.000650383
11,305.348,1.45862,1.96416,0.97651,0.52704,0.61601,0.57466,0.34118,1.38445,1.53879,0.96043,0.000643314,0.000643314,0.000643314
12,335.607,1.47005,1.87151,0.96054,0.56837,0.57757,0.60978,0.3684,1.35704,1.47,0.94566,0.000636245,0.000636245,0.000636245
13,367.468,1.45636,1.79085,0.96357,0.56852,0.67633,0.64625,0.39227,1.34616,1.42826,0.94878,0.000629177,0.000629177,0.000629177
14,398.697,1.42665,1.70773,0.96635,0.58837,0.68404,0.66357,0.40126,1.33412,1.37449,0.94437,0.000622108,0.000622108,0.000622108
15,426.269,1.4598,1.70821,0.95887,0.60712,0.64496,0.66979,0.4049,1.33622,1.359,0.94245,0.00061504,0.00061504,0.00061504
16,453.864,1.43418,1.6266,0.95585,0.63142,0.62385,0.69585,0.42161,1.32816,1.2976,0.93882,0.000607971,0.000607971,0.000607971
17,481.383,1.39688,1.56174,0.95303,0.62461,0.71656,0.72987,0.45373,1.30093,1.23365,0.93312,0.000600902,0.000600902,0.000600902
