epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,169.902,0.93344,1.51438,0.96459,0.00333,1,0.65949,0.59518,0.61974,3.319,0.7513,0.000490728,0.000490728,0.000490728
44,173.405,0.95968,1.30018,0.92366,0.00333,1,0.65949,0.59518,0.61974,3.319,0.7513,0.000493898,0.000493898,0.000493898
45,176.931,0.97578,1.31322,0.94067,0.00333,1,0.995,0.85508,0.64947,3.24677,0.74736,0.000496672,0.000496672,0.000496672
46,181.309,0.85315,1.30036,0.91668,0.00333,1,0.995,0.85508,0.64947,3.24677,0.74736,0.00049905,0.00049905,0.00049905
47,185.362,0.82624,1.16585,0.88732,0.00333,1,0.995,0.84067,0.73433,3.10192,0.76636,0.000501032,0.000501032,0.000501032
48,189.553,0.95511,1.2929,1.02679,0.00333,1,0.995,0.84067,0.73433,3.10192,0.76636,0.000502618,0.000502618,0.000502618
49,193.715,0.98957,1.38071,1.00427,0.00333,1,0.995,0.82554,0.74104,2.90686,0.75316,0.000503808,0.000503808,0.000503808
50,197.366,0.87801,1.12973,0.94648,0.00333,1,0.995,0.82554,0.74104,2.90686,0.75316,0.000504602,0.000504602,0.000504602
51,201.098,0.9166,1.20563,0.97732,0.7254,1,0.995,0.85108,0.70644,2.89938,0.74651,0.000505,0.000505,0.000505
52,204.674,0.91491,1.18429,0.96399,0.7254,1,0.995,0.85108,0.70644,2.89938,0.74651,0.000505002,0.000505002,0.000505002
53,208.35,0.91129,1.07348,0.90824,0.7254,1,0.995,0.85108,0.70644,2.89938,0.74651,0.000504608,0.000504608,0.000504608
54,212.256,0.78957,1.28321,0.89573,0.77646,1,0.995,0.89307,0.61943,2.88327,0.73418,0.000503818,0.000503818,0.000503818
55,215.928,0.88681,1.62428,0.99692,0.77646,1,0.995,0.89307,0.61943,2.88327,0.73418,0.000502632,0.000502632,0.000502632
56,219.664,0.93623,1.09579,0.99022,0.77646,1,0.995,0.89307,0.61943,2.88327,0.73418,0.00050105,0.00050105,0.00050105
57,223.446,0.89222,1.05434,0.91596,0.78719,1,0.995,0.84946,0.59188,2.7943,0.73279,0.000499072,0.000499072,0.000499072
58,227.074,0.79958,1.10274,0.95429,0.78719,1,0.995,0.84946,0.59188,2.7943,0.73279,0.000496698,0.000496698,0.000496698
59,230.738,0.94345,1.23612,0.92847,0.78719,1,0.995,0.84946,0.59188,2.7943,0.73279,0.000493928,0.000493928,0.000493928
60,234.532,0.92511,1.28258,0.89334,0.86909,1,0.995,0.85844,0.62874,2.75267,0.73672,0.000490762,0.000490762,0.000490762
61,238.089,0.82305,1.10452,0.89735,0.86909,1,0.995,0.85844,0.62874,2.75267,0.73672,0.0004872,0.0004872,0.0004872
62,241.78,0.86217,1.07928,0.94479,0.86909,1,0.995,0.85844,0.62874,2.75267,0.73672,0.000483242,0.000483242,0.000483242
63,245.37,0.84322,0.99867,0.9398,0.96823,1,0.995,0.87511,0.64557,2.64874,0.73108,0.000478888,0.000478888,0.000478888
64,249.111,0.83324,1.45913,0.98779,0.96823,1,0.995,0.87511,0.64557,2.64874,0.73108,0.000474138,0.000474138,0.000474138
65,252.784,0.74112,1.12115,0.88459,0.96823,1,0.995,0.87511,0.64557,2.64874,0.73108,0.000468992,0.000468992,0.000468992
66,256.512,0.85405,1.1133,0.91152,0.95555,1,0.995,0.85036,0.63902,2.6006,0.72638,0.00046345,0.00046345,0.00046345
67,260.128,0.83814,1.04026,0.89478,0.95555,1,0.995,0.85036,0.63902,2.6006,0.72638,0.000457512,0.000457512,0.000457512
68,263.973,0.90724,1.12062,0.91752,0.95555,1,0.995,0.85036,0.63902,2.6006,0.72638,0.000451178,0.000451178,0.000451178
69,268.023,0.78984,1.64873,0.93715,0.93242,1,0.995,0.86208,0.66192,2.57999,0.73577,0.000444448,0.000444448,0.000444448
70,271.728,0.81014,1.06197,0.88497,0.93242,1,0.995,0.86208,0.66192,2.57999,0.73577,0.000437322,0.000437322,0.000437322
71,275.412,0.79246,1.14464,0.86276,0.93242,1,0.995,0.86208,0.66192,2.57999,0.73577,0.0004298,0.0004298,0.0004298
72,279.221,0.81423,1.07621,0.95517,0.89853,1,0.995,0.85733,0.63788,2.45746,0.73449,0.000421882,0.000421882,0.000421882
73,283.092,0.7695,1.03256,0.86434,0.89853,1,0.995,0.85733,0.63788,2.45746,0.73449,0.000413568,0.000413568,0.000413568
74,287.075,0.83498,1.06741,0.88311,0.89853,1,0.995,0.85733,0.63788,2.45746,0.73449,0.000404858,0.000404858,0.000404858
75,291.134,0.78288,1.13031,0.88317,0.92242,1,0.995,0.84756,0.63514,2.45374,0.72221,0.000395752,0.000395752,0.000395752
76,295.061,0.75349,0.97221,0.89643,0.92242,1,0.995,0.84756,0.63514,2.45374,0.72221,0.00038625,0.00038625,0.00038625
77,299.098,0.79699,0.98875,0.92428,0.92242,1,0.995,0.84756,0.63514,2.45374,0.72221,0.000376352,0.000376352,0.000376352
78,303.046,0.75429,1.02976,0.87576,0.92574,1,0.995,0.86046,0.63366,2.4145,0.71771,0.000366058,0.000366058,0.000366058
79,306.933,0.74675,1.15551,0.90782,0.92574,1,0.995,0.86046,0.63366,2.4145,0.71771,0.000355368,0.000355368,0.000355368
80,310.761,0.76998,1.17128,0.88755,0.92574,1,0.995,0.86046,0.63366,2.4145,0.71771,0.000344282,0.000344282,0.000344282
81,314.732,0.67362,1.12332,0.891,0.91753,1,0.995,0.7996,0.7111,2.32249,0.72866,0.0003328,0.0003328,0.0003328
82,318.568,0.90388,1.10318,0.89481,0.91753,1,0.995,0.7996,0.7111,2.32249,0.72866,0.000320922,0.000320922,0.000320922
83,322.079,0.83281,0.96553,0.89548,0.91753,1,0.995,0.7996,0.7111,2.32249,0.72866,0.000308648,0.000308648,0.000308648
84,325.959,0.87247,0.9856,0.90286,0.92392,1,0.995,0.82357,0.69008,2.29287,0.73252,0.000295978,0.000295978,0.000295978
85,329.749,0.81153,1.00994,0.89812,0.92392,1,0.995,0.82357,0.69008,2.29287,0.73252,0.000282912,0.000282912,0.000282912
86,333.612,0.80457,0.9685,0.89008,0.92392,1,0.995,0.82357,0.69008,2.29287,0.73252,0.00026945,0.00026945,0.00026945
87,337.466,0.81247,0.9638,0.90221,0.92392,1,0.995,0.82357,0.69008,2.29287,0.73252,0.000255592,0.000255592,0.000255592
88,341.521,0.89134,1.15685,0.93392,0.94111,1,0.995,0.84087,0.64565,2.24261,0.72696,0.000241338,0.000241338,0.000241338
89,345.297,0.76163,1.18001,0.87938,0.94111,1,0.995,0.84087,0.64565,2.24261,0.72696,0.000226688,0.000226688,0.000226688
90,349.154,0.71172,1.09614,0.8906,0.94111,1,0.995,0.84087,0.64565,2.24261,0.72696,0.000211642,0.000211642,0.000211642
91,353.051,0.80382,1.32192,0.83544,0.94111,1,0.995,0.84087,0.64565,2.24261,0.72696,0.0001962,0.0001962,0.0001962
92,357.064,0.68944,1.39708,0.78548,0.95268,1,0.995,0.83215,0.63321,2.19929,0.71728,0.000180362,0.000180362,0.000180362
93,360.967,0.68342,1.27986,0.87364,0.95268,1,0.995,0.83215,0.63321,2.19929,0.71728,0.000164128,0.000164128,0.000164128
94,364.822,0.70787,1.34441,0.84371,0.95268,1,0.995,0.83215,0.63321,2.19929,0.71728,0.000147498,0.000147498,0.000147498
95,368.547,0.69765,1.25044,0.89436,0.95268,1,0.995,0.83215,0.63321,2.19929,0.71728,0.000130472,0.000130472,0.000130472
96,372.409,0.63316,1.3289,0.91195,0.95889,1,0.995,0.83215,0.66901,2.15418,0.72395,0.00011305,0.00011305,0.00011305
97,376.387,0.7048,1.1821,0.81396,0.95889,1,0.995,0.83215,0.66901,2.15418,0.72395,9.5232e-05,9.5232e-05,9.5232e-05
98,380.218,0.71113,1.49463,0.84759,0.95889,1,0.995,0.83215,0.66901,2.15418,0.72395,7.7018e-05,7.7018e-05,7.7018e-05
99,384.08,0.69115,1.4742,0.84835,0.95889,1,0.995,0.83215,0.66901,2.15418,0.72395,5.8408e-05,5.8408e-05,5.8408e-05
100,387.954,0.76764,1.42703,0.93331,0.96549,1,0.995,0.81555,0.66018,2.06881,0.72356,3.9402e-05,3.9402e-05,3.9402e-05
