epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1485.62,1.12244,0.71928,0.88454,0.93943,0.92963,0.98079,0.7042,1.01275,0.58923,0.8658,0.000520792,0.000520792,0.000520792
43,1520.86,1.11825,0.72359,0.88508,0.93627,0.96455,0.98301,0.69511,1.0326,0.56839,0.86516,0.000516079,0.000516079,0.000516079
44,1556.12,1.12688,0.73623,0.88992,0.93633,0.95541,0.98261,0.70644,1.01137,0.56638,0.86394,0.000511367,0.000511367,0.000511367
45,1591.62,1.12365,0.72753,0.87755,0.92844,0.94481,0.98249,0.70995,0.99202,0.58304,0.86122,0.000506654,0.000506654,0.000506654
46,1626.91,1.11851,0.74929,0.88287,0.92039,0.95357,0.98069,0.70279,1.0143,0.57672,0.86492,0.000501942,0.000501942,0.000501942
47,1662.25,1.12167,0.72127,0.8828,0.94134,0.94131,0.98297,0.70441,1.01935,0.5673,0.86581,0.00049723,0.00049723,0.00049723
48,1697.58,1.08869,0.6935,0.87875,0.94441,0.95067,0.98528,0.70922,1.00124,0.55404,0.8616,0.000492517,0.000492517,0.000492517
49,1733.04,1.10665,0.69763,0.88729,0.95003,0.94096,0.98646,0.70529,1.01737,0.57392,0.86523,0.000487805,0.000487805,0.000487805
50,1768.31,1.11757,0.70456,0.88431,0.93757,0.96766,0.98415,0.71542,0.99101,0.5529,0.86107,0.000483092,0.000483092,0.000483092
51,1803.89,1.12215,0.70744,0.88422,0.93536,0.96632,0.98619,0.71502,0.98773,0.53836,0.85858,0.00047838,0.00047838,0.00047838
52,1839.17,1.11397,0.71351,0.88005,0.93658,0.96945,0.98524,0.7092,0.9992,0.55905,0.86037,0.000473668,0.000473668,0.000473668
53,1874.67,1.11411,0.70546,0.88589,0.93165,0.97168,0.9845,0.71871,0.97816,0.54658,0.85841,0.000468955,0.000468955,0.000468955
54,1909.94,1.11523,0.70098,0.88191,0.95497,0.95207,0.98692,0.70884,1.00733,0.55149,0.86224,0.000464243,0.000464243,0.000464243
55,1945.23,1.112,0.66979,0.87612,0.95022,0.95452,0.98809,0.71461,0.98641,0.5488,0.85962,0.00045953,0.00045953,0.00045953
56,1980.32,1.10473,0.68209,0.87982,0.94382,0.95116,0.9854,0.70231,1.01762,0.54917,0.8639,0.000454818,0.000454818,0.000454818
57,2015.44,1.07226,0.67232,0.87247,0.94697,0.96919,0.98909,0.71404,1.00052,0.5429,0.86187,0.000450106,0.000450106,0.000450106
58,2050.57,1.07651,0.67643,0.86944,0.94984,0.96347,0.98931,0.72555,0.97243,0.52534,0.858,0.000445393,0.000445393,0.000445393
59,2085.64,1.06919,0.64563,0.87843,0.96323,0.96115,0.98887,0.72509,0.96201,0.52416,0.85517,0.000440681,0.000440681,0.000440681
60,2120.62,1.07052,0.65034,0.87797,0.94939,0.96837,0.98787,0.70954,0.99456,0.53537,0.85953,0.000435968,0.000435968,0.000435968
61,2155.56,1.08404,0.672,0.8789,0.94681,0.96748,0.98702,0.72347,0.97064,0.52541,0.85561,0.000431256,0.000431256,0.000431256
62,2190.54,1.09667,0.65237,0.88302,0.94091,0.97382,0.98618,0.72131,0.96357,0.53175,0.8549,0.000426544,0.000426544,0.000426544
63,2225.7,1.06654,0.64319,0.88031,0.94344,0.96278,0.98664,0.71655,0.97789,0.52706,0.85536,0.000421831,0.000421831,0.000421831
64,2260.74,1.08353,0.6587,0.87944,0.94427,0.95761,0.98698,0.73129,0.94415,0.52149,0.85257,0.000417119,0.000417119,0.000417119
65,2296.01,1.08272,0.66941,0.86754,0.9661,0.94924,0.98889,0.73814,0.93031,0.51685,0.85101,0.000412406,0.000412406,0.000412406
66,2331.23,1.04661,0.62294,0.87032,0.94801,0.97394,0.98532,0.72671,0.94549,0.5176,0.85416,0.000407694,0.000407694,0.000407694
67,2366.57,1.07498,0.67245,0.88233,0.9617,0.96618,0.99055,0.7384,0.93916,0.52424,0.84862,0.000402982,0.000402982,0.000402982
68,2401.51,1.06811,0.66738,0.87667,0.9647,0.9507,0.98916,0.73767,0.92639,0.51215,0.84898,0.000398269,0.000398269,0.000398269
69,2436.62,1.05767,0.64406,0.86956,0.95102,0.96176,0.98598,0.72535,0.95246,0.51812,0.85239,0.000393557,0.000393557,0.000393557
70,2471.61,1.06425,0.63897,0.87268,0.96697,0.96096,0.98961,0.7396,0.92256,0.50674,0.84772,0.000388844,0.000388844,0.000388844
71,2507.16,1.04225,0.63416,0.87391,0.94688,0.97339,0.98902,0.73249,0.93784,0.51257,0.85101,0.000384132,0.000384132,0.000384132
72,2542.24,1.05796,0.66702,0.86602,0.95762,0.96015,0.98929,0.73819,0.92511,0.51211,0.84875,0.00037942,0.00037942,0.00037942
73,2577.22,1.0342,0.63035,0.86764,0.96056,0.96501,0.98983,0.74551,0.91158,0.49953,0.84661,0.000374707,0.000374707,0.000374707
74,2612.2,1.03446,0.60551,0.87386,0.97533,0.94876,0.98878,0.74282,0.91716,0.50625,0.84783,0.000369995,0.000369995,0.000369995
75,2647.05,1.01434,0.61371,0.85948,0.96071,0.96877,0.98836,0.73906,0.90996,0.49806,0.84474,0.000365282,0.000365282,0.000365282
76,2682.09,1.03352,0.61609,0.86418,0.95775,0.96599,0.98707,0.73884,0.92423,0.49794,0.84742,0.00036057,0.00036057,0.00036057
77,2717.4,1.03977,0.61908,0.87393,0.95684,0.96483,0.98821,0.7371,0.92611,0.50291,0.8486,0.000355858,0.000355858,0.000355858
78,2752.62,1.02588,0.6503,0.86319,0.94997,0.9701,0.98638,0.73488,0.91801,0.51981,0.84654,0.000351145,0.000351145,0.000351145
79,2788,1.03635,0.6322,0.87274,0.96256,0.96877,0.99053,0.73626,0.94331,0.4997,0.85033,0.000346433,0.000346433,0.000346433
80,2823.46,1.04433,0.64229,0.86239,0.96663,0.96415,0.99092,0.74117,0.90966,0.49748,0.84547,0.00034172,0.00034172,0.00034172
81,2858.49,1.04951,0.6274,0.85963,0.95571,0.96928,0.98981,0.74036,0.9307,0.49525,0.8483,0.000337008,0.000337008,0.000337008
82,2893.96,1.04301,0.61494,0.86634,0.95112,0.98438,0.99127,0.7438,0.91683,0.48709,0.84652,0.000332296,0.000332296,0.000332296
83,2929.32,1.01648,0.59323,0.86286,0.97041,0.95984,0.98986,0.74515,0.90608,0.4898,0.84423,0.000327583,0.000327583,0.000327583
84,2964.75,1.02595,0.61619,0.86008,0.96349,0.97801,0.99191,0.74568,0.90878,0.48697,0.84415,0.000322871,0.000322871,0.000322871
