epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.893,2.00171,4.61352,1.09218,0.00919,0.55728,0.06067,0.02624,1.65504,4.42224,0.97608,0.000232936,0.000232936,0.000232936
2,295.993,1.78838,3.27187,1.00554,0.01518,0.49173,0.07631,0.04143,1.60061,4.0772,1.00508,0.000466274,0.000466274,0.000466274
3,435.17,1.69401,2.84742,1.00394,0.12299,0.38218,0.13589,0.07035,1.58394,2.89217,1.00752,0.000694899,0.000694899,0.000694899
4,564.92,1.58221,2.64311,0.9889,0.14488,0.56704,0.17353,0.09642,1.52185,2.49431,0.98342,0.000692794,0.000692794,0.000692794
5,690.07,1.63932,2.53483,1.0051,0.16158,0.461,0.19109,0.10248,1.48465,2.44793,0.95838,0.000685726,0.000685726,0.000685726
6,812.877,1.59895,2.47542,0.9877,0.23079,0.39244,0.28295,0.15011,1.45952,2.35565,0.96294,0.000678657,0.000678657,0.000678657
7,947.271,1.54933,2.37423,0.97114,0.28546,0.47108,0.32201,0.1797,1.40362,2.21635,0.94599,0.000671588,0.000671588,0.000671588
