epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9783,2.79977,5.03084,1.84461,0,0,0,0,2.49506,5.31486,1.51972,1.428e-05,1.428e-05,1.428e-05
2,35.5886,2.63435,5.00711,1.50006,0,0,0,0,2.24986,5.12624,1.37975,3.53466e-05,3.53466e-05,3.53466e-05
3,51.9699,2.26106,4.75345,1.38338,9e-05,0.00417,5e-05,1e-05,2.08356,4.9309,1.19465,5.5989e-05,5.5989e-05,5.5989e-05
4,68.0671,1.94104,4.71383,1.26323,0.00059,0.03218,0.00044,0.00014,1.86724,4.80066,1.0935,7.62074e-05,7.62074e-05,7.62074e-05
5,84.3718,1.83761,4.51156,1.15305,0.00151,0.06413,0.00715,0.0029,1.69904,4.75132,1.02762,9.60016e-05,9.60016e-05,9.60016e-05
6,100.585,1.7561,4.30594,1.0624,0.00178,0.06952,0.01674,0.00819,1.67221,4.72746,1.00439,0.000115372,0.000115372,0.000115372
7,116.813,1.66373,4.07637,1.00085,0.00183,0.07223,0.0213,0.01154,1.70321,4.7126,1.00311,0.000134318,0.000134318,0.000134318
8,132.853,1.65679,3.93054,0.99664,0.0018,0.07223,0.02416,0.01315,1.62774,4.66977,0.98398,0.00015284,0.00015284,0.00015284
9,149.006,1.62453,3.68683,0.97711,0.0044,0.15002,0.07036,0.04262,1.48167,4.57823,0.95091,0.000170937,0.000170937,0.000170937
10,165.008,1.6214,3.40292,0.97797,0.00513,0.16346,0.108,0.06674,1.46331,4.52822,0.9491,0.000188611,0.000188611,0.000188611
11,181.074,1.51995,3.02555,0.98656,0.00855,0.32178,0.15989,0.09812,1.47466,4.39737,0.95231,0.00020586,0.00020586,0.00020586
12,197.146,1.59124,2.98463,0.98196,0.01074,0.43845,0.19701,0.11715,1.48212,4.32662,0.95451,0.000222686,0.000222686,0.000222686
